SOURCE_ID,COUNTRY_CODE,SOURCE_NAME,PUBLISHER,SOURCE_TYPE,ANNOUNCEMENT_DATE,LINK,SOURCE_SUMMARY,NOTES,INCLUDE_IN_TOOL
63,EGY,"Sustainable Development Strategy Egypt Vision 2030, Energy Axis",Egyptian Government,National strategy or plans (approved),2016-05-01,http://sdsegypt2030.com/wp-content/uploads/2016/05/%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9.pdf,"Since the target to reach 42% renewables has been set in 2016, there has been various policies that were introduced to push renewable development. However, national power sector targets have not been updated to reflect the policy reforms and market development. In light of this, the World Bank conducted a scenario analysis that provided the likely generation and capacity mix in 2030 under the current policy scenario. In this analysis, we use the result from this study as a proxy for Egypt's renewable targets for 2030. ",p. 38 and 39 on renewable integration for electricity.,FALSE
69,FRA,Ecological Planning Dashboard,Ecological Transition Agency (ADEME),National strategy or plans (approved),2023-07-01,https://www.gouvernement.fr/upload/media/content/0001/06/27899b60fe0cf622dc033d34bd8b2f1ab0c8102c.pdf,"As part of the official Ecological Planning process, key indicators for 2030 are presented in this supplementary document. The trajectories are based on officieal objectives or projections. ","p. 7 Puissance cumulée installée de production électrique d’origine
solaire, en Megawatt (MW). ",FALSE
71,DEU,Integrated National Energy and Climate Plan,German Federal Government,National strategy or plans (approved),2019-01-01,https://energy.ec.europa.eu/system/files/2022-08/de_final_necp_main_en.pdf,"Under the EU Regulation on the governance of energy union and climate action (EU 2018/21999), adopted in 2019 as part of the Clean Energy for All Europeans Package, all EU countries must submit 10-year national energy and climate plans (NECPs) to outline how they intend to meet the EU energy and climate targets for 2030. In line with Article 14 of the Governance Regulation, EU member countries were requried to submit their draft updated NECPS to the EU Commission. Germany has not submitted the updated draft as of September, 2023. Since Germany's recent updates on renewable targets do not include bio, hydro and other renewables, we take figures from their 2019 NECP target.",p. 43 table A10,FALSE
85,EGY,Egyptian Energy Strategy 2016, Supreme Council of Energy,National strategy or plans (approved),2016-10-01,http://nrea.gov.eg/test/en/About/Strategy,The Egyption Energy Strategy set the target to reach 42% renewables in total electricity generation by 2030. This plan does not set capacity target.,,FALSE
90,LVA,About Latvia's National Energy and Climate Plan 2021-2030 for the year,Latvian Cabinet of Ministers,National strategy or plans (approved),2020-04-02,https://likumi.lv/ta/id/312423-par-latvijas-nacionalo-energetikas-un-klimata-planu-20212030-gadam,"Under the EU Regulation on the governance of energy union and climate action (EU 2018/21999), adopted in 2019 as part of the Clean Energy for All Europeans Package, all EU countries must submit 10-year national energy and climate plans (NECPs) to outline how they intend to meet the EU energy and climate targets for 2030. In line with Article 14 of the Governance Regulation, EU member countries were required to submit their draft updated NECPS to the EU Commission.

Latvia plans to increase the share of renewable energy in the production of electricity to reach 60% by 2030, driven mainly by hydro, biomass, and wind. Although it is stated that Latvia is planning to increase the share of RES in the production of electricity by increasing the installed capacity of wind generators and solar photovoltaic components, the updated NECP lacks explicit targets and quantifiable metrics. It is also noted that, according to the baseline scenario, after 2020 there will be a minimal increase in contributions of RE in electricity.","Data taken from Europe team's first version of the NECP tracking sheet

https://docs.google.com/spreadsheets/d/1hCR5k1QoOscoVvA0x5kV6vL_L44Fpoln6Ze1oGDE5Es/edit#gid=1083019848

Data from Annex, also saved in Dropbox",FALSE
91,LVA,Latvia's National Energy and Climate Plan,Latvian Cabinet of Ministers,National strategy or plans (approved),2020-11-01,https://energy.ec.europa.eu/system/files/2020-04/lv_final_necp_main_en_0.pdf,"Under the EU Regulation on the governance of energy union and climate action (EU 2018/21999), adopted in 2019 as part of the Clean Energy for All Europeans Package, all EU countries must submit 10-year national energy and climate plans (NECPs) to outline how they intend to meet the EU energy and climate targets for 2030. In line with Article 14 of the Governance Regulation, EU member countries were required to submit their draft updated NECPS to the EU Commission. 

",,FALSE
95,CRI,National Decarbonisation Plan 2018-2050,Government of Costa Rica,National strategy or plans (approved),2019-01-01,https://cambioclimatico.go.cr/wp-content/uploads/2019/02/PLAN.pdf,"Costa Rica announced a net zero target for 2050 in its National Decarbonisation Plan 2018-2050. While it does not set a renewable target for the power sector, 99% of its renewable generation is already renewable (as of 2022). ",,FALSE
107,BEL,Belgian Integrated National Energy and Climate Plan 2021-2030,The Federal Government of Belgium,National strategy or plans (approved),2019-12-18,"https://energy.ec.europa.eu/system/files/2020-09/be_final_necp_parta_en_0.pdf
 
https://energy.ec.europa.eu/system/files/2020-09/be_final_necp_partb_en_0.pdf","Federal agendas in Belgium are shared between the Federal Government, the 3 regions of Wallonia, Flanders, and the Brussels Capital Region, and the 3 Flemish, French, and German-speaking communities. While the regions are responsible for areas of energy and renewable sources, fiscal policies are approved at the federal-state level. The National Climate Commission is the governing body for national climate policy. Belgium has not submitted an updated version of its Draft NECP. As such, the most recent source of information is the 2019 Final NECP. The submission consists of 2 parts, of which the latter includes the analytical basis for projections and targets set forth in various scenarios. Within the 2 scenarios, the continuation of the current policies is grouped under the WEM scenario, whereas the A WAM scenario has been developed by applying the additional measures to the WEM scenario on a bottom-up basis, by deducting the energy savings made through the additional measures.","Data taken from Europe team's first version of the NECP tracking sheet

https://docs.google.com/spreadsheets/d/1hCR5k1QoOscoVvA0x5kV6vL_L44Fpoln6Ze1oGDE5Es/edit#gid=1083019848
",FALSE
109,POL,The National Energy and Climate Plan for 2021-2030,Ministry of Climate and Environment,National strategy or plans (approved),2019-12-18,https://energy.ec.europa.eu/system/files/2020-01/pl_final_necp_main_pl_0.pdf,"Poland has not submitted an updated Draft NECP in 2023. Thus, its target numbers reference the 2019 Final NECP Submission as no new sources have been provided. Coal remains an important component in Poland’s electricity generation, and its share in electricity generation is indicated to not exceed 56% by 2030. Since the electricity sector is heavily reliant on carbon-intensive coal generation, the energy transition to low-emission will require significant structural changes for Poland to achieve its goals. Poland’s NECP targets for 2030 installed capacity for solar have already been overtaken (7GW by 2030 vs. 11 GW in 2022), driven mainly by deployment in rooftop solar. Currently, it is estimated the share of renewables in the power sector will be at least 32% by 2030, with capacity installations growing in offshore and onshore wind, solar, bioenergy, and hydropower.","Data taken from Europe team's NECP tracking sheet
 https://docs.google.com/spreadsheets/d/1hCR5k1QoOscoVvA0x5kV6vL_L44Fpoln6Ze1oGDE5Es/edit#gid=195303560 
",FALSE
110,CZE,National Energy and Climate Plan of the Czech Republic,Ministry of Industry and Trade,National strategy or plans (approved),2019-11-01,https://energy.ec.europa.eu/system/files/2020-03/cs_final_necp_main_en_0.pdf,"Czechia has not submitted an updated Draft NECP in 2023. Thus, its target numbers reference the 2019 Final NECP Submission as no new sources have been provided. According to the approved State Energy Policy, renewable sources should account for 18–25 % of gross electricity production by 2040. Czechia’s current energy mix relies heavily on lignite, followed by nuclear as the 2 largest components in its electricity generation. The document shows that coal is expected to only contain 11-21% of electricity generation in 2040. Since this is a large drop from the 50% coverage reported in 2016, significant policy measures and a robust coal phase-out agenda must be followed for the renewable targets to be met. Moreover, the Czech Republic intends to continue and increase its share of nuclear in electricity production as a clean energy source in support of meeting its targets.
","Data taken from Europe team's NECP tracking sheet
 https://docs.google.com/spreadsheets/d/1hCR5k1QoOscoVvA0x5kV6vL_L44Fpoln6Ze1oGDE5Es/edit#gid=195303560 

NECP: p. 34 Table 18: Expected installed capacity (electric), p. 344 Table 168: Gross electricity production by fuels 

Values for biomass, biogas, waste, solar and wind are calculated from TJ values from the table (p.32)",FALSE
111,GRC,Greece National Energy and Climate Plan,Ministry of the Environment and Energy,National strategy or plans (approved),2019-12-01,https://energy.ec.europa.eu/system/files/2020-03/el_final_necp_main_en_0.pdf,"Greece has not submitted an updated Draft NECP in 2023. Thus, its target numbers reference the 2019 Final NECP Submission as no new sources have been provided. A key objective in the new revised government strategy for the NECP indicates a complete end to the use of lignite for power generation in Greece by 2028 and a shutdown of all lignite-fired power plants in operation by the end of 2023. The share of generation of renewables in the electricity sector of Greece is already at approximately 44% and aims for renewable power generation to exceed 65% by 2030 by endorsing its high potential for wind and photovoltaic plants. To achieve these targets, the Greek government is exploring a new electricity market model, which aims to simplify and speed up the licensing procedures. Considering the geographical nature of Greece and its coverage of islands, additional measures include energy isolation of its islands by 2029 through leveraging hybrid renewable energy power generation systems. It is noted that the Final NECP submitted in 2019 is more ambitious than its initial version, as it has raised the share of each renewable technology in electricity generation, and reduced the share of lignite to 0. ","Data taken from Europe team's first version of the NECP tracking sheet

https://docs.google.com/spreadsheets/d/1hCR5k1QoOscoVvA0x5kV6vL_L44Fpoln6Ze1oGDE5Es/edit#gid=1083019848


NECP document p. 276
",FALSE
112,IRL,Ireland National Energy and Climate Plan,"Department of Communications, Climate Action & Environment",National strategy or plans (approved),2019-12-01,https://energy.ec.europa.eu/system/files/2020-08/ie_final_necp_main_en_0.pdf,"Ireland has not submitted an updated Draft NECP in 2023. Thus, its target numbers reference the 2019 Final NECP Submission as no new sources have been provided. Ireland declared the “Delivering a Secure Sustainable Electricity System (DS3) Programme” to raise the share of renewables in power generation. The document states the goal to increase electricity generated from renewable sources to 70% and sets forth the Renewable Electricity Support Scheme (RESS) to enshrine its goal, which is paired with explicit targets of capacity additions in wind and solar. Ireland also commits to delivering an early and complete phase-out of coal and peat-fired electricity generation.
","Data taken from Europe team's NECP tracking sheet
 https://docs.google.com/spreadsheets/d/1hCR5k1QoOscoVvA0x5kV6vL_L44Fpoln6Ze1oGDE5Es/edit#gid=195303560 
",FALSE
113,IRL,CLIMATE ACTION PLAN 2023 CAP23,Government of Ireland,National strategy or plans (approved),2023-09-20,https://www.gov.ie/en/publication/7bd8c-climate-action-plan-2023/,"The Government of Ireland The Climate Action Plan 2023 (CAP23) is the second annual update to Ireland’s Climate Action Plan 2019, prepared under the Climate Action and Low Carbon Development (Amendment) Act 2021. The report sets explicit capacity targets for solar, onshore wind, and offshore wind, as well as an updated share of renewables in electricity generation.","p.129, Section 12. Electricity",FALSE
114,BGR,Bulgaria's National Energy and Climate Plan,Ministry of Energy Ministry of the Environment and Water,National strategy or plans (approved),2019-12-01,https://energy.ec.europa.eu/system/files/2020-06/bg_final_necp_main_en_0.pdf,"Under the EU Regulation on the governance of energy union and climate action (EU 2018/21999), adopted in 2019 as part of the Clean Energy for All Europeans Package, all EU countries must submit 10-year national energy and climate plans (NECPs) to outline how they intend to meet the EU energy and climate targets for 2030. In line with Article 14 of the Governance Regulation, EU member countries were required to submit their draft updated NECPS to the EU Commission. ","Data taken from Europe team's NECP tracking sheet
 https://docs.google.com/spreadsheets/d/1hCR5k1QoOscoVvA0x5kV6vL_L44Fpoln6Ze1oGDE5Es/edit#gid=195303560 


Annex: https://www.me.government.bg/files/useruploads/files/annex_1,_part_2,_12_necp2019v2_21-02-20-end1_1.pdf
 
Annex data matches NECP WAM data",FALSE
121,ROU,The National Integrated Plan for Energy and Climate 2021-2030,Ministry of Energy,National strategy or plans (approved),2021-02-01,https://energie.gov.ro/wp-content/uploads/2022/10/Anexa-HG-PNIESC.pdf,The installed capacity target for renewables was taken from the Romanian government's 2021 update on its energy and climate plans to reflect recommendations from the European Commission since its submission of the initial NECP in 2019. ,p. 53,FALSE
127,CZE,Update of the Czech National Plan of the Republics in the field of energy and climate,Ministry of Industry and Trade,National strategy or plans (approved),2023-10-23,https://commission.europa.eu/system/files/2023-10/Czech%20Draft%20Updated%20NECP%202021%202030_en.pdf,"Czechia has recently updated its draft NECP in 2023. The updates include figures provided for additions to current capacity figures for renewables. As such, 2030 data is calculated as current capacity with the 2030 reported capacity additions. Since the updated NECP does not include capacity numbers for hydro, the 2030 target references the 2022 hydro capacity.",,FALSE
128,BEL,Federal Development Plan 2024-2034,Elia Group,National strategy or plans (approved),2023-05-05,https://www.elia.be/fr/infrastructure-et-projets/plans-investissements/plan-de-developpement-federal-2024-2034,"In May 2023, the transmission system operator of Belgium established a Federal Development Plan 2024-2034 for the development of Belgium's transmission network for the period 2024-2034. The plan was developed in collaboration with the General Directorate of Energy and the Federal Planning Bureau, the federal regulator (CREG) and the office of the Minister of Energy. The general provisions within the plan are included in the “Electricity” law and comply with the royal decree of December 20, 2007, relating to the procedure for drawing up, approving and publishing the network development plan. The plan was approved by the Minister of Energy, has gone through the public consultation process, and is legally binding. The Plan depicts three separate scenarios of projections, of which the ReEU is used as it aligns with the RePowerEU guidelines for each EU country. Data may not align exactly since the figures were taken from a graph using WebPlotDigitizer.","p. 139, Figure 2.34 for generation, Tableu 2.2. for capacity",FALSE
130,DEU,National Energy and Climate Plan,Federal Government of Germany,National strategy or plans (approved),2023-11-06,https://commission.europa.eu/system/files/2023-11/GERMANY-%20DRAFT%20UPDATED%20NECP%202021-2030%20EN.pdf,Germany released its updated NECP in November 2023.,p. 17,FALSE
131,AUT,National Energy and Climate Plan,The Ministry of Climate Protection,National strategy or plans (approved),2023-11-06,https://commission.europa.eu/system/files/2023-11/AUSTRIA%20-%20DRAFT%20UPDATED%20NECP%202021-2030%20EN.pdf,"Under the EU Regulation on the governance of energy union and climate action (EU 2018/21999), adopted in 2019 as part of the Clean Energy for All Europeans Package, all EU countries must submit 10-year national energy and climate plans (NECPs) to outline how they intend to meet the EU energy and climate targets for 2030. In line with Article 14 of the Governance Regulation, EU member countries were required to submit their draft updated NECPS to the EU Commission. Austria updated its submission in November 2023.

The Austrian Federal Ministry for Climate Protection, Environment, Energy, Mobility, Innovation and Technology sets forth 2 scenarios: WEM (With Existing Measures) and WAM (With Additional Measures). Austria’s NECP is based on the WAM Scenario, where the level of greenhouse gas reduction is calculated based on measures already agreed upon. The WAM Scenario shows only a 35% reduction in emissions can be achieved by 2030, thus showing a gap of 13% missing to reach the EU target. Explicit targets for both fossil fuels and renewables in electricity generation are listed for 2030 in the report for both scenarios. However, since Austria does not list any capacity targets and no modelling studies have been conducted, the 2022 capacity numbers are carried forward to 2030.

The updated NECP gives generation targets that are the same as the previous version. Furthermore, no capacity numbers are provided in the updated NECP either.",,FALSE
